service_id,date,exception_type
3,20151011,1
0,20151012,1
Ss,20151012,1
Na,20151012,1
Su,20151012,1
0,20151013,1
Ss,20151013,1
Na,20151013,1
Su,20151013,1
0,20151014,1
Ss,20151014,1
Na,20151014,1
Su,20151014,1
0,20151015,1
Ss,20151015,1
Na,20151015,1
Su,20151015,1
0,20151016,1
Ss,20151016,1
Na,20151016,1
Su,20151016,1
Fa,20151016,1
Yr,20151016,1
2,20151017,1
Nb,20151018,1
3,20151018,1
0,20151019,1
Ss,20151019,1
Na,20151019,1
Su,20151019,1
0,20151020,1
Ss,20151020,1
Na,20151020,1
Su,20151020,1
0,20151021,1
Ss,20151021,1
Na,20151021,1
Su,20151021,1
0,20151022,1
Ss,20151022,1
Na,20151022,1
Su,20151022,1
0,20151023,1
Ss,20151023,1
Na,20151023,1
Su,20151023,1
Fa,20151023,1
Yr,20151023,1
2,20151024,1
Nb,20151025,1
3,20151025,1
0,20151026,1
Ss,20151026,1
Na,20151026,1
Su,20151026,1
0,20151027,1
Ss,20151027,1
Na,20151027,1
Su,20151027,1
0,20151028,1
Ss,20151028,1
Na,20151028,1
Su,20151028,1
0,20151029,1
Ss,20151029,1
Na,20151029,1
Su,20151029,1
0,20151030,1
Ss,20151030,1
Na,20151030,1
Su,20151030,1
Fa,20151030,1
Yr,20151030,1
2,20151031,1
Nb,20151101,1
3,20151101,1
0,20151102,1
Na,20151102,1
Su,20151102,1
Sf,20151102,1
0,20151103,1
Na,20151103,1
Su,20151103,1
Sf,20151103,1
0,20151104,1
Na,20151104,1
Su,20151104,1
Sf,20151104,1
0,20151105,1
Na,20151105,1
Su,20151105,1
Sf,20151105,1
0,20151106,1
Na,20151106,1
Su,20151106,1
Sf,20151106,1
Fa,20151106,1
Yr,20151106,1
2,20151107,1
Nb,20151108,1
3,20151108,1
0,20151109,1
Ss,20151109,1
Na,20151109,1
Su,20151109,1
0,20151110,1
Ss,20151110,1
Na,20151110,1
Su,20151110,1
0,20151111,1
Ss,20151111,1
Na,20151111,1
Su,20151111,1
0,20151112,1
Ss,20151112,1
Na,20151112,1
Su,20151112,1
0,20151113,1
Ss,20151113,1
Na,20151113,1
Su,20151113,1
Fa,20151113,1
Yr,20151113,1
2,20151114,1
Nb,20151115,1
3,20151115,1
0,20151116,1
Ss,20151116,1
Na,20151116,1
Su,20151116,1
0,20151117,1
Ss,20151117,1
Na,20151117,1
Su,20151117,1
0,20151118,1
Ss,20151118,1
Na,20151118,1
Su,20151118,1
0,20151119,1
Ss,20151119,1
Na,20151119,1
Su,20151119,1
0,20151120,1
